date,number,points
2015-10-01 01:37,7,11
2015-09-25 00:36,7,10
2015-09-28 14:33,5,9.5
2015-10-01 04:19,6,11
2015-10-01 01:54,11,10
2015-09-21 20:03,25,11
2015-09-28 14:33,4,9.5
2015-09-25 14:14,6,9
2015-09-21 16:19,1,10
2015-09-21 13:20,13,11
2015-10-01 14:10,10,9.5
2015-09-22 20:03,7,9.5
2015-09-25 22:33,6,12
2015-09-24 16:21,10,11
2015-09-30 18:17,3,9
2015-09-30 13:02,1,10
2015-09-28 16:02,22,10
2015-10-01 18:06,4,9.5
2015-09-22 21:04,2,9.5
2015-09-30 23:13,12,10
2015-09-29 20:39,5,12.5
2015-10-02 00:06,4,9.5
2015-10-02 14:07,1,9.5
2015-09-28 14:45,3,9.5
2015-09-30 13:02,5,9.5
2015-09-30 22:07,9,9
2015-09-20 23:45,2,8
2015-09-30 19:05,8,9.5
2015-10-01 03:09,6,11.5
2015-09-28 20:27,11,9
2015-10-02 01:34,7,9
2015-10-01 20:36,2,9
2015-09-30 14:36,10,9
2015-10-01 21:46,4,10
2015-09-29 11:58,18,10.5
2015-10-02 11:04,4,10.5
2015-10-01 20:27,15,12
2015-09-25 15:07,3,12
2015-09-28 09:12,2,9
2015-09-29 15:47,4,9
2015-09-28 17:15,1,10.5
2015-10-01 16:56,7,8.5
2015-10-01 23:36,4,8.5
2015-10-02 15:19,1,8
2015-10-01 16:06,1,10.5
2015-09-29 23:52,3,9.5
2015-10-01 18:47,1,5
2015-09-27 23:03,3,9.5
2015-10-02 02:01,4,6
2015-09-29 13:37,33,12
2015-09-21 19:25,7,9.5
2015-10-02 00:49,3,9
2015-09-30 22:21,22,8.5
2015-10-01 10:46,5,9.5
2015-10-01 16:57,10,9
2015-09-30 23:12,8,9
2015-10-01 22:12,5,10
2015-09-23 18:14,6,9
2015-10-01 20:05,5,10.5
2015-09-24 13:41,2,9.5
2015-09-29 22:26,14,10.5
2015-09-28 16:28,2,8
2015-09-22 22:16,7,9.5
2015-09-26 16:13,19,12.5
2015-09-25 15:34,3,7
2015-09-30 13:08,10,8.5
2015-10-01 13:33,4,11
2015-09-30 09:10,18,11.5
2015-09-29 16:25,4,11
2015-09-25 13:37,15,10.5
2015-10-01 03:50,5,9.5
2015-09-29 12:28,32,9.5
2015-10-01 13:08,3,9.5
2015-09-30 11:02,6,12
2015-09-30 16:32,8,11.5
2015-10-01 14:04,1,8.5
2015-09-23 15:51,2,7.5
2015-09-27 18:43,3,7
2015-09-23 18:38,8,7.5
2015-10-13 16:07,2,8
2015-10-01 22:35,7,7
2015-10-01 13:56,5,8.5
2015-09-29 12:00,7,8.5
2015-10-02 11:37,9,10
2015-09-30 18:31,2,10
2015-10-02 13:38,2,9
2015-09-26 22:47,1,9
2015-10-02 01:15,6,8
2015-10-02 01:22,4,9.5
2015-10-01 03:21,12,9.5
2015-10-02 00:15,10,10
2015-10-01 15:21,5,9
2015-09-29 11:02,2,10.5
2015-09-29 13:09,3,9
2015-10-02 15:44,4,8.5
2015-10-01 22:20,7,9.5
2015-10-02 13:46,9,10
2015-10-01 14:17,5,9.5
2015-09-27 14:22,7,9
2015-10-02 12:08,7,10
2015-09-29 22:22,4,11
2015-10-01 15:36,10,9
2015-09-21 03:09,2,9.5
2015-10-02 12:23,1,9.5
2015-10-05 21:41,3,10
2015-10-01 14:41,3,9.5
2015-09-24 01:54,5,9
2015-10-02 15:28,3,9
2015-10-01 14:29,2,9
2015-09-23 18:27,10,11.5
2015-10-02 14:01,1,9.5
2015-09-25 15:43,1,9.5
2015-09-27 12:46,7,8
2015-10-02 15:15,2,7.5
2015-10-02 15:05,3,10
2015-10-01 16:11,1,7
2015-09-30 14:58,13,9.5
2015-09-21 14:47,2,9
2015-10-02 15:16,2,9.5
2015-10-02 15:52,1,9.5
2015-10-02 14:42,1,8
2015-09-29 23:31,4,9.5
2015-10-02 00:31,8,10
2015-10-02 10:05,5,9.5
2015-10-01 13:45,6,9
2015-09-28 14:33,21,10
2015-09-28 14:33,5,9.5
2015-09-30 11:09,4,10.5
2015-10-02 06:45,12,9
2015-10-02 11:36,3,9.5
2015-10-02 11:10,1,9
2015-09-30 14:15,12,8
2015-09-25 15:48,5,10
2015-10-01 20:19,14,9
2015-10-01 22:23,15,11
2015-10-02 11:16,5,8.5
2015-09-28 12:30,11,8.5
2015-10-02 15:37,1,8
2015-10-02 15:29,2,7.5
2015-10-01 13:35,2,7.5
2015-10-02 15:55,1,6.5
2015-10-01 17:54,4,8
2015-09-29 02:40,1,9.5
2015-09-21 20:26,24,8.5
2015-10-02 02:16,2,8.5
2015-09-30 07:52,16,11
2015-09-29 11:33,2,8
2015-09-28 20:26,8,10.5
2015-09-27 16:34,4,8.5
2015-09-29 21:52,3,8
2015-09-29 21:52,1,9
