date,number,points
2015-11-04 20:17,30,20
2015-10-31 16:23,22,19
2015-10-28 13:21,20,16
2015-11-04 20:31,7,20
2015-11-05 01:38,20,20
2015-10-30 01:17,45,19
2015-11-02 14:50,8,16
2015-10-30 15:39,12,19
2015-10-26 15:53,13,15
2015-11-06 10:47,11,18
2015-11-06 01:54,2,17
2015-11-01 16:35,45,23
2015-11-04 13:32,24,21
2015-10-28 16:30,31,22
2015-10-27 00:16,3,20
2015-11-04 13:33,44,20
2015-10-29 11:13,28,21
2015-11-01 20:26,19,20
2015-11-09 03:00,4,19
2015-11-05 18:29,13,17
2015-11-05 14:00,10,18
2015-10-29 20:59,13,20
2015-11-06 13:03,19,19
2015-11-05 13:27,28,18
2015-11-05 13:22,29,19
2015-10-28 16:09,54,20
2015-10-27 14:04,44,21
2015-11-04 19:08,16,18
2015-11-05 12:28,3,20
2015-11-05 13:21,16,18
2015-11-06 01:15,6,14
2015-11-05 22:13,8,20
2015-10-28 16:09,54,20
2015-11-05 22:40,16,17
2015-11-01 17:23,63,16
2015-11-04 19:52,15,15
2015-11-06 14:31,73,19
2015-10-22 18:23,30,22
2015-11-06 17:51,10,14
2015-11-05 12:47,34,17
2015-10-30 16:14,20,21
2015-11-05 23:42,38,17
2015-11-05 18:55,25,19
2015-11-02 16:12,26,21
2015-11-04 22:01,5,20
2015-11-05 19:54,6,15
2015-11-03 14:08,31,18
2015-11-06 11:35,7,15
2015-11-05 17:06,73,23
2015-11-03 16:31,37,22
2015-11-06 00:59,4,18
2015-11-05 12:10,14,18
2015-11-02 16:12,26,21
2015-11-05 23:42,38,17
2015-11-04 15:04,28,21
2015-10-30 22:27,5,21
2015-10-27 15:42,12,20
2015-11-04 14:57,25,20
2015-11-01 19:52,33,20
2015-11-05 15:19,14,15
2015-11-05 16:18,12,15
2015-11-02 14:19,39,17
2015-11-01 19:33,17,15
2015-10-30 18:28,65,20
2015-11-05 09:48,16,18
2015-10-27 18:08,8,18
2015-10-27 18:51,2,0
2015-11-04 23:35,8,20
2015-10-28 15:15,31,22
2015-10-30 15:48,6,8
2015-11-01 17:20,45,18
2015-11-04 20:19,8,19
2015-10-27 09:20,54,20
2015-11-03 16:51,12,21
2015-11-01 12:57,45,19
2015-11-04 13:18,9,18
2015-11-05 18:41,18,18
2015-11-04 17:03,3,17
2015-11-09 11:05,12,15
2015-11-06 11:28,3,12
2015-11-06 10:43,15,15
2015-11-01 17:52,24,18
2015-11-10 14:38,1,15
2015-10-19 16:59,14,23
2015-10-31 23:52,8,14
2015-11-06 12:44,1,19
2015-11-06 00:31,12,16
2015-11-01 23:39,13,14
2015-11-01 12:57,45,19
2015-11-05 22:54,29,21
2015-11-11 10:49,13,20
2015-10-30 14:01,26,22
2015-10-24 12:26,44,21
2015-11-05 19:17,16,13
2015-11-05 23:20,78,13
2015-11-06 13:29,21,17
2015-11-05 15:28,10,16
2015-10-29 16:03,27,20
2015-11-06 10:52,15,17
2015-11-04 18:06,26,18
2015-11-02 19:39,47,17
2015-10-19 18:49,63,22
2015-11-06 11:03,12,18
2015-11-05 23:26,10,19
2015-11-05 14:15,5,19
2015-10-31 23:03,16,15
2015-10-28 18:48,41,19
2015-11-05 20:36,6,19
2015-11-10 08:08,2,20
2015-11-02 14:02,25,21
2015-11-09 21:16,1,15
2015-11-05 21:16,4,13
2015-11-06 13:05,4,14
2015-11-06 11:52,7,18
2015-10-28 15:13,45,20
2015-11-06 00:33,34,20
2015-11-02 14:50,15,20
2015-10-28 18:00,27,20
2015-11-10 23:38,7,12
2015-11-05 23:58,3,19
2015-11-05 22:55,3,20
2015-11-03 23:38,7,19
2015-11-05 22:34,13,20
2015-11-05 15:43,20,17
2015-11-04 14:31,16,18
2015-11-02 14:50,15,20
2015-11-03 14:46,36,22
2015-10-28 18:34,41,19
2015-11-06 12:37,4,18
2015-11-04 21:07,29,21
2015-11-04 13:43,16,17
2015-11-03 14:56,35,21
2015-11-04 13:33,44,20
2015-11-04 21:16,17,14
2015-11-04 13:18,9,18
2015-10-28 15:13,45,20
2015-11-02 14:44,4,13
2015-11-03 18:57,18,19
2015-10-28 18:34,41,19
2015-11-07 00:27,15,16
2015-11-06 15:44,2,13
2015-11-05 14:48,8,19
2015-10-23 21:10,37,16
2015-11-02 15:03,33,23
2015-11-04 14:15,23,18
2015-11-06 10:09,10,18
